,index,id,mssubclass,mszoning,lotfrontage,lotarea,lotshape,landcontour,lotconfig,landslope,neighborhood,condition1,bldgtype,housestyle,overallqual,overallcond,yearbuilt,yearremodadd,roofstyle,masvnrtype,masvnrarea,exterqual,foundation,bsmtqual,bsmtexposure,bsmtfintype1,bsmtfinsf1,bsmtunfsf,heatingqc,grlivarea,bsmtfullbath,fullbath,halfbath,bedroomabvgr,kitchenabvgr,kitchenqual,functional,fireplaces,fireplacequ,garagetype,garagefinish,garagearea,garagecond,wooddecksf,mosold,yrsold,salecondition,saleprice,porchpres,poolpres,garagepres,fireplacepres,masvnrpres,bsmtpres,shedpres,exterior,age_sold,2ndfloorpres,bighouse
10,10,11,20,RL,70.0,11200,0,Lvl,Inside,flat,Sawyer,Norm,1Fam,1Story,5,5,3861225,1965,Hip,None,0.0,3,CBlock,9,1,Rec,906,134,25,1040,1,1,0,3,1,3,Typ,0,0,Detchd,Unf,384,TA,0,2,2008,Normal,129500,0,0,1,0,0,1,0,Wood,43.0,0,0.0
11,11,12,60,RL,85.0,11924,1,Lvl,Inside,flat,NridgHt,Norm,1Fam,2Story,9,5,4020025,2006,Hip,Stone,286.0,5,PConc,25,1,GLQ,998,177,25,2324,1,3,0,4,1,5,Typ,2,4,BuiltIn,Fin,736,TA,147,7,2006,Partial,345000,1,0,1,1,1,1,0,Wood,1.0,1,0.0
12,12,13,20,RL,71.0,12968,2,Lvl,Inside,flat,Sawyer,Norm,1Fam,1Story,5,6,3849444,1962,Hip,None,0.0,3,CBlock,9,1,ALQ,737,175,9,912,1,1,0,2,1,3,Typ,0,0,Detchd,Unf,352,TA,140,9,2008,Normal,144000,1,0,1,0,0,1,0,Wood,46.0,0,0.0
13,13,14,20,RL,91.0,10652,1,Lvl,Inside,flat,CollgCr,Norm,1Fam,1Story,7,5,4024036,2007,Gable,Stone,306.0,4,PConc,16,3,Unf,0,1494,25,1494,0,2,0,3,1,4,Typ,1,4,Attchd,RFn,840,TA,160,8,2007,Partial,279500,1,0,1,1,1,1,0,Vinyl,1.0,0,0.0
14,14,15,20,RL,73.0,10920,1,Lvl,Corner,flat,NAmes,Norm,1Fam,1Story,6,5,3841600,1960,Hip,BrkFace,212.0,3,CBlock,9,1,BLQ,733,520,9,1253,1,1,1,2,1,3,Typ,1,2,Attchd,RFn,352,TA,0,5,2008,Normal,157000,1,0,1,1,1,1,0,Metal,48.0,0,0.0
15,15,16,45,RM,51.0,6120,0,Lvl,Corner,flat,BrkSide,Norm,1Fam,1.5Unf,7,8,3721041,2001,Gable,None,0.0,3,BrkTil,9,1,Unf,0,832,25,854,0,1,0,2,1,3,Typ,0,0,Detchd,Unf,576,TA,48,7,2007,Normal,132000,1,0,1,0,0,1,0,Wood,78.0,0,0.0
16,16,17,20,RL,73.0,11241,1,Lvl,CulDSac,flat,NAmes,Norm,1Fam,1Story,6,7,3880900,1970,Gable,BrkFace,180.0,3,CBlock,9,1,ALQ,578,426,25,1004,1,1,0,2,1,3,Typ,1,3,Attchd,Fin,480,TA,0,3,2010,Normal,149000,0,0,1,1,1,1,1,Wood,40.0,0,0.0
17,17,18,90,RL,72.0,10791,0,Lvl,Inside,flat,Sawyer,Norm,Duplex,1Story,4,5,3869089,1967,Gable,None,0.0,3,Slab,0,0,None,0,0,9,1296,0,2,0,2,2,3,Typ,0,0,CarPort,Unf,516,TA,0,10,2006,Normal,90000,0,0,1,0,0,0,1,Metal,39.0,0,0.0
18,18,19,20,RL,66.0,13695,0,Lvl,Inside,flat,SawyerW,RRAe,1Fam,1Story,5,5,4016016,2004,Gable,None,0.0,3,PConc,9,1,GLQ,646,468,25,1114,1,1,1,3,1,4,Typ,0,0,Detchd,Unf,576,TA,0,6,2008,Normal,159000,1,0,1,0,0,1,0,Vinyl,4.0,0,0.0
19,19,20,20,RL,70.0,7560,0,Lvl,Inside,flat,NAmes,Norm,1Fam,1Story,5,6,3833764,1965,Hip,None,0.0,3,CBlock,9,1,LwQ,504,525,9,1339,0,1,0,3,1,3,Min1,0,0,Attchd,Unf,294,TA,0,5,2009,Abnorml,139000,0,0,1,0,0,1,0,Brick,51.0,0,0.0
20,20,21,60,RL,101.0,14215,1,Lvl,Corner,flat,NridgHt,Norm,1Fam,2Story,8,5,4020025,2006,Gable,BrkFace,380.0,4,PConc,25,3,Unf,0,1158,25,2376,0,3,1,4,1,4,Typ,1,4,BuiltIn,RFn,853,TA,240,11,2006,Partial,325300,1,0,1,1,1,1,0,Vinyl,1.0,1,0.0
21,21,22,45,RM,57.0,7449,0,Bnk,Inside,flat,IDOTRR,Norm,1Fam,1.5Unf,7,7,3724900,1950,Gable,None,0.0,3,PConc,9,1,Unf,0,637,25,1108,0,1,0,3,1,4,Typ,1,4,Attchd,Unf,280,TA,0,6,2007,Normal,139400,1,0,1,1,0,1,0,Wood,77.0,0,0.0
22,22,23,20,RL,75.0,9742,0,Lvl,Inside,flat,CollgCr,Norm,1Fam,1Story,8,5,4008004,2002,Hip,BrkFace,281.0,4,PConc,16,1,Unf,0,1777,25,1795,0,2,0,3,1,4,Typ,1,4,Attchd,RFn,534,TA,171,9,2008,Normal,230000,1,0,1,1,1,1,0,Vinyl,6.0,0,0.0
23,23,24,120,RM,44.0,4224,0,Lvl,Inside,flat,MeadowV,Norm,TwnhsE,1Story,5,7,3904576,1976,Gable,None,0.0,3,PConc,16,1,GLQ,840,200,9,1060,1,1,0,3,1,3,Typ,1,3,Attchd,Unf,572,TA,100,6,2007,Normal,129900,1,0,1,1,0,1,0,Aggregate,31.0,0,0.0
24,24,25,20,RL,71.0,8246,1,Lvl,Inside,flat,Sawyer,Norm,1Fam,1Story,5,8,3873024,2001,Gable,None,0.0,3,CBlock,9,2,Rec,188,204,25,1060,1,1,0,3,1,4,Typ,1,3,Attchd,Unf,270,TA,406,5,2010,Normal,154000,1,0,1,1,0,1,0,Wood,42.0,0,0.0
25,25,26,20,RL,110.0,14230,0,Lvl,Corner,flat,NridgHt,Norm,1Fam,1Story,8,5,4028049,2007,Gable,Stone,640.0,4,PConc,16,1,Unf,0,1566,25,1600,0,2,0,3,1,4,Typ,1,4,Attchd,RFn,890,TA,0,7,2009,Normal,256300,1,0,1,1,1,1,0,Vinyl,2.0,0,0.0
26,26,27,20,RL,60.0,7200,0,Lvl,Corner,flat,NAmes,Norm,1Fam,1Story,5,7,3806401,2000,Gable,None,0.0,3,CBlock,9,2,BLQ,234,180,9,900,0,1,0,3,1,4,Typ,0,0,Detchd,Unf,576,TA,222,5,2010,Normal,134800,1,0,1,0,0,1,0,Wood,59.0,0,0.0
27,27,28,20,RL,98.0,11478,0,Lvl,Inside,flat,NridgHt,Norm,1Fam,1Story,8,5,4028049,2008,Gable,Stone,200.0,4,PConc,25,1,GLQ,1218,486,25,1704,1,2,0,3,1,4,Typ,1,4,Attchd,RFn,772,TA,0,5,2010,Normal,306000,1,0,1,1,1,1,0,Vinyl,3.0,0,0.0
28,28,29,20,RL,47.0,16321,1,Lvl,CulDSac,flat,NAmes,Norm,1Fam,1Story,5,6,3829849,1997,Gable,None,0.0,3,CBlock,9,4,BLQ,1277,207,9,1600,1,1,0,2,1,3,Typ,2,4,Attchd,RFn,319,TA,288,12,2006,Normal,207500,1,0,1,1,0,1,0,Metal,49.0,0,0.0
29,29,30,30,RM,60.0,6324,1,Lvl,Inside,flat,BrkSide,Feedr,1Fam,1Story,4,6,3713329,1950,Gable,None,0.0,3,BrkTil,9,1,Unf,0,520,4,520,0,1,0,1,1,2,Typ,0,0,Detchd,Unf,240,TA,49,5,2008,Normal,68500,1,0,1,0,0,1,0,Metal,81.0,0,0.0
30,30,31,70,C (all),50.0,8500,0,Lvl,Inside,flat,IDOTRR,Feedr,1Fam,2Story,4,4,3686400,1950,Gambrel,None,0.0,3,BrkTil,9,1,Unf,0,649,9,1317,0,1,0,3,1,3,Typ,0,0,Detchd,Unf,250,Fa,0,7,2008,Normal,40000,1,0,1,0,0,1,0,Brick,88.0,1,0.0
31,31,32,20,RL,71.0,8544,1,Lvl,CulDSac,flat,Sawyer,Norm,1Fam,1Story,5,6,3865156,2006,Gable,None,0.0,3,CBlock,9,1,Unf,0,1228,16,1228,0,1,1,3,1,4,Typ,0,0,Attchd,Unf,271,TA,0,6,2008,Normal,149350,1,0,1,0,0,1,0,Wood,42.0,0,0.0
32,32,33,20,RL,85.0,11049,0,Lvl,Corner,flat,CollgCr,Norm,1Fam,1Story,8,5,4028049,2007,Gable,None,0.0,4,PConc,25,3,Unf,0,1234,25,1234,0,2,0,3,1,4,Typ,0,0,Attchd,RFn,484,TA,0,1,2008,Normal,179900,1,0,1,0,0,1,0,Vinyl,1.0,0,0.0
33,33,34,20,RL,70.0,10552,1,Lvl,Inside,flat,NAmes,Norm,1Fam,1Story,5,5,3837681,1959,Hip,None,0.0,3,CBlock,9,1,Rec,1018,380,16,1700,0,1,1,4,1,4,Typ,1,4,Attchd,RFn,447,TA,0,4,2010,Normal,165500,1,0,1,1,0,1,0,Brick,51.0,0,0.0
34,34,35,120,RL,60.0,7313,0,Lvl,Inside,flat,NridgHt,Norm,TwnhsE,1Story,9,5,4020025,2005,Hip,BrkFace,246.0,5,PConc,25,1,GLQ,1153,408,25,1561,1,2,0,2,1,5,Typ,1,4,Attchd,Fin,556,TA,203,8,2007,Normal,277500,1,0,1,1,1,1,0,Metal,2.0,0,0.0
35,35,36,60,RL,108.0,13418,0,Lvl,Inside,flat,NridgHt,Norm,1Fam,2Story,8,5,4016016,2005,Gable,Stone,132.0,4,PConc,25,3,Unf,0,1117,25,2452,0,3,1,4,1,4,Typ,1,4,BuiltIn,Fin,691,TA,113,9,2006,Normal,309000,1,0,1,1,1,1,0,Vinyl,2.0,1,0.0
36,36,37,20,RL,112.0,10859,0,Lvl,Corner,flat,CollgCr,Norm,1Fam,1Story,5,5,3976036,1995,Gable,None,0.0,3,PConc,16,1,Unf,0,1097,25,1097,0,1,1,3,1,3,Typ,0,0,Attchd,Unf,672,TA,392,6,2009,Normal,145000,1,0,1,0,0,1,0,Vinyl,15.0,0,0.0
37,37,38,20,RL,74.0,8532,0,Lvl,Inside,flat,NAmes,Norm,1Fam,1Story,5,6,3818116,1990,Hip,BrkFace,650.0,3,CBlock,9,1,Rec,1213,84,16,1297,0,1,0,3,1,3,Typ,1,3,Attchd,Fin,498,TA,0,10,2009,Normal,153000,0,0,1,1,1,1,0,Wood,55.0,0,0.0
38,38,39,20,RL,68.0,7922,0,Lvl,Inside,flat,NAmes,Norm,1Fam,1Story,5,7,3814209,2007,Gable,None,0.0,3,CBlock,9,1,GLQ,731,326,9,1057,1,1,0,3,1,4,Typ,0,0,Detchd,Unf,246,TA,0,1,2010,Abnorml,109000,1,0,1,0,0,1,0,Vinyl,57.0,0,0.0
39,39,40,90,RL,65.0,6040,0,Lvl,Inside,flat,Edwards,Norm,Duplex,1Story,4,5,3822025,1955,Gable,None,0.0,3,PConc,0,0,None,0,0,9,1152,0,2,0,2,2,2,Typ,0,0,None,None,0,None,0,6,2008,AdjLand,82000,0,0,0,0,0,0,0,Aesbestos,53.0,0,0.0
40,40,41,20,RL,84.0,8658,0,Lvl,Inside,flat,NAmes,Norm,1Fam,1Story,6,5,3861225,1965,Gable,BrkFace,101.0,3,CBlock,9,1,Rec,643,445,25,1324,0,2,0,3,1,3,Typ,1,3,Attchd,RFn,440,TA,0,12,2006,Abnorml,160000,1,0,1,1,1,1,0,Wood,41.0,0,0.0
41,41,42,20,RL,115.0,16905,0,Lvl,Inside,flat,Timber,Norm,1Fam,1Story,5,6,3837681,1959,Gable,None,0.0,3,CBlock,9,4,BLQ,967,383,16,1328,0,1,1,2,1,3,Typ,2,4,Attchd,RFn,308,TA,0,7,2007,Normal,170000,1,0,1,1,0,1,0,Vinyl,48.0,0,0.0
42,42,43,85,RL,66.5,9180,1,Lvl,CulDSac,flat,SawyerW,Norm,1Fam,SFoyer,5,7,3932289,1983,Gable,None,0.0,3,CBlock,16,3,ALQ,747,0,16,884,1,1,0,2,1,4,Typ,0,0,Attchd,RFn,504,Gd,240,12,2007,Normal,144000,0,0,1,0,0,1,0,Wood,24.0,0,0.0
43,43,44,20,RL,70.0,9200,1,Lvl,CulDSac,flat,CollgCr,Norm,1Fam,1Story,5,6,3900625,1980,Hip,None,0.0,3,CBlock,16,3,LwQ,280,167,9,938,1,1,0,3,1,3,Typ,0,0,Detchd,Unf,308,TA,145,7,2008,Normal,130250,0,0,1,0,0,1,0,Vinyl,33.0,0,0.0
44,44,45,20,RL,70.0,7945,0,Lvl,Inside,flat,NAmes,Norm,1Fam,1Story,5,6,3837681,1959,Gable,None,0.0,3,CBlock,9,1,ALQ,179,465,25,1150,1,1,0,3,1,3,Typ,0,0,Attchd,RFn,300,TA,0,5,2006,Normal,141000,0,0,1,0,0,1,0,Brick,47.0,0,0.0
45,45,46,120,RL,61.0,7658,0,Lvl,Inside,flat,NridgHt,Norm,TwnhsE,1Story,9,5,4020025,2005,Hip,BrkFace,412.0,5,PConc,25,1,GLQ,456,1296,25,1752,1,2,0,2,1,5,Typ,1,4,Attchd,RFn,576,TA,196,2,2010,Normal,319900,1,0,1,1,1,1,0,Metal,5.0,0,0.0
46,46,47,50,RL,48.0,12822,1,Lvl,CulDSac,flat,Mitchel,Norm,1Fam,1.5Fin,7,5,4012009,2003,Gable,None,0.0,4,PConc,25,1,GLQ,1351,83,25,2149,1,1,1,1,1,4,Typ,1,5,Attchd,RFn,670,TA,168,8,2009,Abnorml,239686,1,0,1,1,0,1,0,Vinyl,6.0,1,0.0
47,47,48,20,FV,84.0,11096,0,Lvl,Inside,flat,Somerst,Norm,1Fam,1Story,8,5,4024036,2006,Gable,None,0.0,4,PConc,16,3,GLQ,24,1632,25,1656,0,2,0,3,1,4,Typ,0,0,Attchd,RFn,826,TA,0,7,2007,Normal,249700,1,0,1,0,0,1,0,Vinyl,1.0,0,0.0
48,48,49,190,RM,33.0,4456,0,Lvl,Inside,flat,OldTown,Norm,2fmCon,2Story,4,5,3686400,2008,Gable,None,0.0,3,BrkTil,9,1,Unf,0,736,16,1452,0,2,0,2,3,3,Typ,0,0,None,None,0,None,0,6,2009,Partial,113000,1,0,0,0,0,1,0,Metal,89.0,1,0.0
49,49,50,20,RL,66.0,7742,0,Lvl,Inside,flat,Sawyer,Norm,1Fam,1Story,5,7,3865156,1966,Gable,None,0.0,3,CBlock,9,1,BLQ,763,192,25,955,1,1,0,3,1,3,Typ,0,0,Attchd,Unf,386,TA,0,1,2007,Normal,127000,0,0,1,0,0,1,0,Wood,41.0,0,0.0
50,50,51,60,RL,65.0,13869,2,Lvl,Corner,flat,Gilbert,Norm,1Fam,2Story,6,6,3988009,1997,Gable,None,0.0,3,PConc,16,3,GLQ,182,612,16,1470,0,2,0,3,1,3,Typ,0,0,Attchd,Fin,388,TA,0,7,2007,Normal,177000,1,0,1,0,0,1,0,Vinyl,10.0,1,0.0
51,51,52,50,RM,52.0,6240,0,Lvl,Inside,flat,BrkSide,Norm,1Fam,1.5Fin,6,6,3740356,1950,Gable,None,0.0,3,PConc,9,1,Unf,0,816,9,1176,0,1,0,3,1,3,Typ,1,4,Detchd,Unf,528,TA,112,9,2006,Normal,114500,0,0,1,1,0,1,1,Wood,72.0,0,1.0
52,52,53,90,RM,110.0,8472,2,Bnk,Corner,sloped,IDOTRR,RRNn,Duplex,1Story,5,5,3853369,1963,Gable,None,0.0,2,CBlock,16,4,LwQ,104,0,9,816,1,1,0,2,1,3,Typ,0,0,CarPort,Unf,516,TA,106,5,2010,Normal,110000,0,0,1,0,0,1,0,Wood,47.0,0,0.0
53,53,54,20,RL,68.0,50271,1,Low,Inside,flat,Veenker,Norm,1Fam,1Story,9,5,3924361,1987,Gable,None,0.0,4,CBlock,25,4,GLQ,1810,32,16,1842,2,0,1,0,1,4,Typ,1,4,Attchd,Fin,894,TA,857,11,2006,Normal,385000,1,0,1,1,0,1,0,Wood,25.0,0,0.0
54,54,55,80,RL,60.0,7134,0,Bnk,Inside,sloped,NAmes,Norm,1Fam,SLvl,5,5,3822025,1955,Gable,None,0.0,3,CBlock,9,1,ALQ,384,0,9,1360,0,1,0,3,1,3,Min1,1,3,Detchd,Unf,572,TA,0,2,2007,Normal,130000,1,0,1,1,0,1,0,Metal,52.0,0,0.0
55,55,56,20,RL,100.0,10175,1,Lvl,Inside,flat,NAmes,Norm,1Fam,1Story,6,5,3857296,1964,Gable,BrkFace,272.0,3,CBlock,9,1,BLQ,490,935,16,1425,0,2,0,3,1,3,Typ,1,4,Attchd,RFn,576,TA,0,7,2008,Normal,180500,1,0,1,1,1,1,0,Wood,44.0,0,0.0
56,56,57,160,FV,24.0,2645,0,Lvl,Inside,flat,Somerst,Norm,Twnhs,2Story,8,5,3996001,2000,Gable,BrkFace,456.0,4,PConc,16,1,GLQ,649,321,25,1739,1,2,1,3,1,4,Typ,0,0,Attchd,Fin,480,TA,115,8,2009,Abnorml,172500,0,0,1,0,1,1,0,Metal,10.0,1,0.0
57,57,58,60,RL,89.0,11645,1,Lvl,Corner,flat,CollgCr,Norm,1Fam,2Story,7,5,4016016,2004,Gable,None,0.0,4,PConc,16,1,Unf,0,860,25,1720,0,2,1,3,1,4,Typ,0,0,Attchd,RFn,565,TA,0,8,2006,Normal,196500,1,0,1,0,0,1,0,Vinyl,2.0,1,0.0
58,58,59,60,RL,66.0,13682,2,HLS,CulDSac,flat,StoneBr,Norm,1Fam,2Story,10,5,4024036,2006,Hip,BrkFace,1031.0,5,PConc,25,4,Unf,0,1410,25,2945,0,3,1,3,1,4,Typ,1,4,BuiltIn,Fin,641,TA,192,10,2006,Partial,438780,1,0,1,1,1,1,0,Vinyl,0.0,1,0.0
59,59,60,20,RL,60.0,7200,0,Bnk,Inside,flat,CollgCr,Norm,1Fam,1Story,5,7,3888784,1972,Gable,None,0.0,3,CBlock,9,3,ALQ,632,148,25,780,0,1,0,2,1,3,Typ,0,0,Detchd,Unf,352,TA,196,1,2008,Normal,124900,0,0,1,0,0,1,0,Wood,36.0,0,0.0
60,60,61,20,RL,63.0,13072,0,Lvl,Inside,flat,SawyerW,RRAe,1Fam,1Story,6,5,4016016,2004,Gable,None,0.0,3,PConc,16,1,ALQ,941,217,25,1158,1,1,1,3,1,4,Typ,0,0,Detchd,Unf,576,TA,0,5,2006,Partial,158000,1,0,1,0,0,1,0,Vinyl,2.0,0,0.0
61,61,62,75,RM,60.0,7200,0,Lvl,Inside,flat,IDOTRR,Norm,1Fam,2.5Unf,5,7,3686400,1996,Gable,None,0.0,3,BrkTil,9,1,Unf,0,530,9,1111,0,1,0,3,1,2,Typ,0,0,Detchd,Unf,288,TA,0,3,2007,Normal,101000,1,0,1,0,0,1,0,Metal,87.0,1,0.0
62,62,63,120,RL,44.0,6442,1,Lvl,Inside,flat,NridgHt,Norm,TwnhsE,1Story,8,5,4024036,2006,Gable,Stone,178.0,4,PConc,16,2,GLQ,24,1346,25,1370,0,2,0,2,1,4,Typ,1,4,Attchd,RFn,484,TA,120,10,2007,Normal,202500,1,0,1,1,1,1,0,Vinyl,1.0,0,0.0
63,63,64,70,RM,50.0,10300,1,Bnk,Inside,flat,OldTown,RRAn,1Fam,2Story,7,6,3690241,1950,Gable,None,0.0,3,BrkTil,9,1,Unf,0,576,16,1710,0,2,0,3,1,3,Typ,0,0,Detchd,Unf,480,TA,12,4,2010,Normal,140000,1,0,1,0,0,1,0,Aggregate,89.0,1,0.0
64,64,65,60,RL,70.0,9375,0,Lvl,Inside,flat,CollgCr,Norm,1Fam,2Story,7,5,3988009,1998,Gable,BrkFace,573.0,3,PConc,16,1,GLQ,739,318,25,2034,1,2,1,3,1,4,Typ,0,0,Attchd,RFn,645,TA,576,2,2009,Normal,219500,1,0,1,0,1,1,0,Vinyl,12.0,1,0.0
65,65,66,60,RL,76.0,9591,0,Lvl,Inside,flat,NridgHt,Norm,1Fam,2Story,8,5,4016016,2005,Gable,BrkFace,344.0,4,PConc,25,3,Unf,0,1143,25,2473,0,2,1,4,1,4,Typ,1,4,BuiltIn,RFn,852,TA,192,10,2007,Normal,317000,1,0,1,1,1,1,0,Vinyl,3.0,1,0.0
66,66,67,20,RL,73.0,19900,0,Lvl,Inside,flat,NAmes,PosA,1Fam,1Story,7,5,3880900,1989,Gable,BrkFace,287.0,3,CBlock,16,4,GLQ,912,1035,9,2207,1,2,0,3,1,3,Min1,1,4,Attchd,RFn,576,TA,301,7,2010,Normal,180000,0,0,1,1,1,1,0,Wood,40.0,0,0.0
67,67,68,20,RL,72.0,10665,1,Lvl,Inside,flat,CollgCr,Norm,1Fam,1Story,7,5,4012009,2003,Gable,BrkFace,167.0,4,PConc,16,3,GLQ,1013,440,25,1479,1,2,0,3,1,4,Typ,0,0,Attchd,RFn,558,TA,144,6,2007,Normal,226000,1,0,1,0,1,1,0,Vinyl,4.0,0,0.0
68,68,69,30,RM,47.0,4608,0,Lvl,Corner,flat,OldTown,Artery,1Fam,1Story,4,6,3783025,1950,Gable,None,0.0,3,CBlock,9,1,Unf,0,747,9,747,0,1,0,2,1,3,Typ,0,0,Attchd,Unf,220,TA,0,6,2010,Normal,80000,0,0,1,0,0,1,0,Metal,65.0,0,0.0
69,69,70,50,RL,81.0,15593,0,Lvl,Corner,flat,ClearCr,Norm,1Fam,1.5Fin,7,4,3814209,1953,Gable,None,0.0,4,CBlock,9,1,BLQ,603,701,9,2287,0,2,0,3,1,3,Typ,1,3,Attchd,Fin,667,TA,0,7,2006,Normal,225000,1,0,1,1,0,1,0,Brick,53.0,1,0.0
70,70,71,20,RL,95.0,13651,1,Lvl,Inside,flat,NAmes,Norm,1Fam,1Story,7,6,3892729,1973,Gable,BrkFace,1115.0,3,CBlock,16,4,ALQ,1880,343,25,2223,1,2,0,3,1,3,Typ,2,4,Attchd,Fin,516,TA,300,2,2007,Normal,244000,0,0,1,1,1,1,0,Wood,34.0,0,0.0
71,71,72,20,RL,69.0,7599,0,Lvl,Corner,flat,Mitchel,Norm,1Fam,1Story,4,6,3928324,2006,Gable,None,0.0,3,CBlock,9,1,ALQ,565,280,9,845,1,1,0,2,1,3,Typ,0,0,Detchd,Unf,360,TA,0,6,2007,Normal,129500,0,0,1,0,0,1,0,Wood,25.0,0,0.0
72,72,73,60,RL,74.0,10141,1,Lvl,Corner,flat,Gilbert,Norm,1Fam,2Story,7,5,3992004,1998,Gable,BrkFace,40.0,3,PConc,16,1,Unf,0,832,16,1718,0,2,1,3,1,3,Typ,1,3,Attchd,Fin,427,TA,0,12,2009,Normal,185000,1,0,1,1,1,1,0,Vinyl,11.0,1,0.0
73,73,74,20,RL,85.0,10200,0,Lvl,Inside,flat,NAmes,Norm,1Fam,1Story,5,7,3818116,2003,Gable,BrkFace,104.0,3,CBlock,9,1,ALQ,320,404,16,1086,1,1,0,3,1,3,Typ,0,0,Attchd,Unf,490,TA,0,5,2010,Normal,144900,0,0,1,0,1,1,0,Wood,56.0,0,0.0
74,74,75,50,RM,60.0,5790,0,Lvl,Corner,flat,OldTown,Norm,1Fam,2Story,3,6,3667225,1950,Gambrel,None,0.0,4,CBlock,4,1,Unf,0,840,16,1605,0,2,0,3,2,3,Typ,0,0,Detchd,Unf,379,TA,0,5,2010,Normal,107400,1,0,1,0,0,1,0,Vinyl,95.0,1,0.0
